stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
AE110,1593,"TREMBLAY / AVENUE T",,  45.419006, -75.640770,,,,,,
AE120,1574,"TREMBLAY / AVENUE U",,  45.419235, -75.639107,,,,,,
AE130,7127,"TREMBLAY / AVENUE U",,  45.419128, -75.639122,,,,,,
AE140,7129,"TREMBLAY / AD. 529",,  45.419106, -75.636261,,,,,,
AE150,7128,"TREMBLAY / AD. 530",,  45.418957, -75.636353,,,,,,
AE220,8595,"BELFAST / TRAINYARDS",,  45.414589, -75.641899,,,,,,
AE240,8583,"BELFAST / AD. 767",,  45.414429, -75.641006,,,,,,
AE250,7131,"BELFAST / AD. 805",,  45.413361, -75.638878,,,,,,
AE260,8582,"BELFAST / AD. 805",,  45.413670, -75.639297,,,,,,
AE270,7132,"BELFAST / AD. 848",,  45.412746, -75.637405,,,,,,
AE280,7133,"BELFAST / PARA TRANSPO",,  45.412174, -75.635704,,,,,,
AE300,7134,"BELFAST / ST. LAURENT",,  45.411690, -75.633690,,,,,,
AE320,8541,"INDUSTRIAL / ST LAURENT",,  45.406624, -75.627777,,,,,,
AE325,7137,"INDUSTRIAL / NAPA AUTO PARTS",,  45.408077, -75.633186,,,,,,
AE330,8548,"INDUSTRIAL / ST LAURENT",,  45.406105, -75.630554,,,,,,
AE335,8546,"INDUSTRIAL / NAPA AUTO PARTS AD. 830",,  45.407192, -75.632561,,,,,,
AE340,7158,"INDUSTRIAL / RUSSELL",,  45.408802, -75.634743,,,,,,
AE351,0742,"INDUSTRIAL / RUSSELL",,  45.409111, -75.635086,,,,,,
AE450,8629,"NEIGHBOURHOOD / CORONATION",,  45.410252, -75.652763,,,,,,
AE480,1392,"ROLLAND / CORONATION",,  45.409447, -75.653450,,,,,,
AE495,3641,"CORONATION / NEIGHBOURHOOD",,  45.410282, -75.652412,,,,,,
AE500,8560,"CORONATION / AD. 466",,  45.410694, -75.649750,,,,,,
AE510,8556,"CORONATION / AD. 466",,  45.410561, -75.649857,,,,,,
AE520,8559,"CORONATION / CHOMLEY",,  45.410610, -75.645767,,,,,,
AE530,7144,"CORONATION / CHOMLEY",,  45.410500, -75.646370,,,,,,
AE540,7145,"CORONATION / WEYBURN",,  45.410038, -75.642235,,,,,,
AE550,7146,"CORONATION / WEYBURN",,  45.409866, -75.642250,,,,,,
AE560,8558,"CORONATION / BOTSFORD",,  45.409153, -75.638573,,,,,,
AE570,8557,"CORONATION / BOTSFORD",,  45.408936, -75.638382,,,,,,
AE580,7147,"CORONATION / RUSSELL",,  45.408726, -75.636765,,,,,,
AE590,7150,"CORONATION / RUSSELL",,  45.408489, -75.636360,,,,,,
AE600,7148,"RUSSELL / SHELLEY",,  45.407547, -75.635506,,,,,,
AE610,7151,"RUSSELL / SHELLEY",,  45.407303, -75.635483,,,,,,
AE620,7149,"RUSSELL / THIRSK",,  45.406162, -75.634491,,,,,,
AE625,8354,"RUSSELL / HÔPITAL PERLEY HOSPITAL",,  45.404579, -75.633125,,,,,,
AE630,7163,"RUSSELL / THIRSK",,  45.405991, -75.634544,,,,,,
AE635,7155,"RUSSELL / HÔPITAL PERLEY HOSPITAL",,  45.404446, -75.633263,,,,,,
AE640,8355,"RUSSELL / HAIG",,  45.403683, -75.632469,,,,,,
AE650,7152,"RUSSELL / HAIG",,  45.403381, -75.631966,,,,,,
AE660,7156,"RUSSELL / CUBA",,  45.402153, -75.629005,,,,,,
AE670,7153,"RUSSELL / CUBA",,  45.402176, -75.628647,,,,,,
AE680,7154,"RUSSELL / AD. 1909",,  45.401730, -75.626419,,,,,,
AE690,7157,"RUSSELL / AD. 1909",,  45.401577, -75.626526,,,,,,
AE700,3395,"TERMINAL / TRAINYARDS",,  45.414371, -75.644470,,,,,,
AE705,3396,"TERMINAL / TRAINYARDS",,  45.414276, -75.643822,,,,,,
AE710,3397,"TERMINAL / WALMART ENT.",,  45.414768, -75.649345,,,,,,
AE715,3398,"TERMINAL / WALMART ENT.",,  45.414936, -75.648972,,,,,,
AE720,3399,"TERMINAL / SANDFORD FLEMING",,  45.414276, -75.655586,,,,,,
AE725,3400,"TERMINAL / SANDFORD FLEMING",,  45.414448, -75.655586,,,,,,
AE800,7074,"INDUSTRIAL GARAGE / BELFAST",,  45.412807, -75.638672,,,,,,
AE900,3024,"TRAIN 2A",,  45.417263, -75.651917,,,,,,
AE901,3024,"TRAIN STATION OFF STOP",,  45.417263, -75.651848,,,,,,
AE910,3024,"TRAIN 1A",,  45.417103, -75.651993,,,,,,
AF075,1868,"RIVERSIDE / TERMINAL",,  45.412331, -75.659019,,,,,,
AF080,1869,"RIVERSIDE / TERMINAL",,  45.412300, -75.659683,,,,,,
AF090,5793,"SANDFORD FLEMING / INDUSTRIAL",,  45.412560, -75.655884,,,,,,
AF100,8552,"SANDFORD FLEMING / INDUSTRIAL",,  45.412846, -75.655685,,,,,,
AF105,8626,"ALTA VISTA / ROLLAND",,  45.411263, -75.655930,,,,,,
